MCS_value, Channel_width_MHz,  short_GI, Throughput_Mbits_per_s,  Distance_m,Protocol
3,		40 , 		0,		45.4104 , 		4,tcp
3,		40 , 		1,		49.6687 , 		4,tcp
4,		20 , 		0,		32.5047 , 		4,tcp
4,		20 , 		1,		36.485 , 		4,tcp
4,		40 , 		0,		66.7099 , 		4,tcp
4,		40 , 		1,		73.8538 , 		4,tcp
5,		20 , 		0,		43.3218 , 		4,tcp
5,		20 , 		1,		47.8269 , 		4,tcp
5,		40 , 		0,		87.5067 , 		4,tcp
5,		40 , 		1,		94.9228 , 		4,tcp
6,		20 , 		0,		48.4234 , 		4,tcp
6,		20 , 		1,		54.3301 , 		4,tcp
6,		40 , 		0,		97.3983 , 		4,tcp
6,		40 , 		1,		101.366 , 		4,tcp
7,		20 , 		0,		53.2238 , 		4,tcp
7,		20 , 		1,		59.3031 , 		4,tcp
7,		40 , 		0,		107.605 , 		4,tcp
7,		40 , 		1,		117.983 , 		4,tcp
0,		20 , 		0,		5.3437 , 		5,tcp
0,		20 , 		1,		5.80706 , 		5,tcp
0,		40 , 		0,		11.0581 , 		5,tcp
0,		40 , 		1,		12.3879 , 		5,tcp
1,		20 , 		0,		10.7882 , 		5,tcp
1,		20 , 		1,		11.7566 , 		5,tcp
1,		40 , 		0,		22.2922 , 		5,tcp
1,		40 , 		1,		24.6867 , 		5,tcp
2,		20 , 		0,		16.0821 , 		5,tcp
2,		20 , 		1,		18.144 , 		5,tcp
2,		40 , 		0,		33.5183 , 		5,tcp
2,		40 , 		1,		37.4244 , 		5,tcp
3,		20 , 		0,		21.3435 , 		5,tcp
3,		20 , 		1,		24.0785 , 		5,tcp
3,		40 , 		0,		45.3108 , 		5,tcp
3,		40 , 		1,		50.2908 , 		5,tcp
4,		20 , 		0,		32.2985 , 		5,tcp
4,		20 , 		1,		36.368 , 		5,tcp
4,		40 , 		0,		66.7794 , 		5,tcp
4,		40 , 		1,		72.6259 , 		5,tcp
5,		20 , 		0,		43.6138 , 		5,tcp
5,		20 , 		1,		48.5381 , 		5,tcp
5,		40 , 		0,		87.2518 , 		5,tcp
5,		40 , 		1,		96.5654 , 		5,tcp
