FlowID,TX bitrate (kbit/s),RX bitrate (kbit/s),meanDelay [s],PacketLoss (%),Throughput (kbps),Mean jitter (s),Protocol
1,84.2301918265221,81.75634223661082,0.02731100455371179,4.103852596314908,78.47135042228479,0.004603477243881118,UDP
2,81.75634223661082,77.12944391596271,0.02210788091203704,5.42907180385289,75.29345755246187,0.00196703524652456,UDP
3,15.849531623827204,16.948033318399535,0.07069659502272727,79.34272300469483,10.759218546250276,0.026448029534883725,UDP
4,15.849881802910941,13.745279664694007,0.003323701190635452,12.82798833819242,13.41460274476118,0.0017836056543624162,UDP
5,15.850059387790669,7.773510997059832,0.043575141217391304,14.46280991735537,7.585903125688536,0.013871948427184467,UDP
6,15.85014881446224,9.243820905644318,0.2308978420661765,41.88034188034188,9.012251491716187,0.026542491133333335,UDP
7,15.85014881446224,15.735475365399866,0.027210435469512195,0.906344410876133,15.347017055153659,0.006683489055045872,UDP
8,15.850238667991423,8.945040153561932,0.04428885862254902,32.450331125827816,8.724614183123927,0.010738886167487685,UDP
9,15.850419667906317,6.944151560230737,0.17937926348087435,25.609756097560975,6.77486894186812,0.023133297005494508,UDP
10,15.85051082050768,20.004887444063677,0.0102081317,95.04950495049505,17.045310623744843,0.015975244333333336,UDP
11,15.85087985579664,15.7747693591999,0.0869530537,4.040404040404041,15.357546320639225,0.020020099063492065,UDP
