Node#, timeConnected, timeChannelSwitched
5, 0.0741284, 0.0741284
2, 14.406, 14.406
3, 14.4876, 14.4876
8, 14.4876, 14.4876
9, 23.8212, 23.8212
4, 26.7154, 26.7154
7, 26.7192, 26.7192
6, 26.7192, 26.7192
