FlowID,TX bitrate (kbit/s),RX bitrate (kbit/s),meanDelay [s],PacketLoss (%),Throughput (kbps),Mean jitter (s),Protocol
1,3.045075125208681,0.9723798340573319,0.4560054590710383,65.00956022944551,0.9327953247356208,0.16439601633516485,UDP
2,268.1741898172536,258.52277090316585,0.029888152629229458,3.032809484422388,252.45796028194772,0.00611810528526735,UDP
3,268.1741898172536,262.99234129153905,0.060204258402851554,0.8317161075686166,256.7943542632558,0.007486637439597316,UDP
4,268.1741898172536,257.475387154746,0.08468452066657185,3.460587750617962,251.42609259088673,0.03169600833067729,UDP
5,268.1741898172536,255.02959734627242,0.11402372679580701,4.1035527402919305,249.02515271830126,0.009532068079000287,UDP
6,268.1741898172536,233.54840516403402,0.10655734904752792,13.181944059817225,224.21579350952612,0.008924217335035099,UDP
7,268.1741898172536,237.67688223574004,0.17747255564868258,9.892594686263426,228.18825459230658,0.012986089972387828,UDP
8,268.1741898172536,242.2511840942565,0.19652422890294302,11.376248612652608,228.4204997977708,0.012035306886626997,UDP
9,268.1741898172536,240.9081280296308,0.2149480342546508,8.764607679465776,235.16802648522034,0.017110721669920684,UDP
10,268.1741898172536,240.38203052975635,0.22220900268167892,7.299062766259586,234.71643233651673,0.015217923477168252,UDP
11,268.1741898172536,243.0786597131771,0.18683373467353745,7.331460674157303,237.26969849676072,0.009987215357792602,UDP
12,268.1741898172536,234.70939134992872,0.18237687481054932,12.2912674514098,229.14318791347202,0.011932371011239465,UDP
13,268.1741898172536,253.00078969192006,0.15601578508033576,7.5388026607538805,238.62710639941452,0.046849691810794604,UDP
14,268.1741898172536,254.39057536469898,0.08184540724251153,3.34075723830735,248.3509992134519,0.006673362081244598,UDP
15,268.1741898172536,260.03299698786975,0.06237345938422536,1.4709963918956424,253.88326061911908,0.008279880435615667,UDP
16,268.1741898172536,253.5511218996139,0.06716732194829579,4.019961186581647,247.5858977360867,0.007482501960416065,UDP
17,268.1741898172536,258.86329431152046,0.058159754632382606,4.721383475157837,248.5016724292155,0.007426395862536024,UDP
18,268.3348087431673,238.8563337995668,0.1474994403288889,10.435029854990049,233.18885083668076,0.010950495042235631,UDP
19,268.3348087431673,238.13809909327483,0.16340918540376637,9.45086705202312,232.51704015436684,0.013887821309386972,UDP
