FlowID,TX bitrate (kbit/s),RX bitrate (kbit/s),meanDelay [s],PacketLoss (%),Throughput (kbps),Mean jitter (s),Protocol
1,1917.391517821664,532.970294009501,0.5001946899864054,70.0926626323752,520.4572890437472,0.017573057113992097,UDP
2,1803.8384382116756,508.74860404404296,0.5550110964374585,68.93263928258516,496.78381706850183,0.023555268034511367,UDP
3,1987.1721105538602,563.9029996591221,0.5400694268796632,69.15224351538211,550.6584987210796,0.02606941430931247,UDP
4,2041.5677596770831,533.1531979301672,0.5345068730533049,72.44791902029012,520.6407772456674,0.031200818843339896,UDP
5,2021.98539842712,569.2634085241359,0.5327398009202369,70.18024714298987,555.8697267263356,0.030813743033655347,UDP
6,2104.084627028508,662.4358309491058,0.5134796575769232,65.9502262443439,646.8689553067073,0.01907074043744409,UDP
7,1813.7872525452112,449.8639253486389,0.5355424223916573,73.45957318905921,439.2439649054605,0.033971484068906925,UDP
8,1929.6423810220028,511.40442149256614,0.5226973354127802,71.16397051785202,499.3328624231559,0.023931146171978755,UDP
9,1963.0146748633292,590.4306779180072,0.5398560642737853,68.42733786514789,576.5224650635536,0.020594654266259275,UDP
10,2036.7597168403424,496.3816234737584,0.507745192005311,73.6347621843805,484.5595878528456,0.029490437994859495,UDP
