FlowID,TX bitrate (kbit/s),RX bitrate (kbit/s),meanDelay [s],PacketLoss (%),Throughput (kbps),Mean jitter (s),Protocol
1799,0.0400941589623622,0.04036710346296003,0.06893442120000001,0.0,0.03914780743950731,0.07984082075,UDP
1800,0.0776760342498556,0.07837808465817332,0.06762644022222222,0.0,0.07582439530897007,0.07307293000000001,UDP
1801,0,0,2.4215631650000002,0.0,0.15485864891738224,0,UDP
1802,0.0279607313928435,0.02372675624792259,1.2711660476666669,25.0,0.021999372830984406,1.0751710975000002,UDP
1803,0.08393411822260753,0.08402152341114685,0.008276200272727272,0.0,0.08196540760422305,0.0058594081,UDP
1804,0.04454000357559679,0.04444289313336773,0.05186103560000001,0.0,0.04332891281966635,0.0590708775,UDP
1805,0.014565304515918184,0.014457735240318329,0.168619563,0.0,0.014115858911340949,0.318752058,UDP
1806,0.0239503793933504,0.024216277070681004,0.16727551433333335,0.0,0.023388976129978978,0.2493984035,UDP
1807,0.13610347510070228,0,0,0,0,0,UDP
1808,0.031998370737118184,0.032524121374719446,0.1785772025,0.0,0.031247270078298802,0.23939969300000002,UDP
1809,0.025284636491711112,0.02538724706697113,0.058632816750000004,0.0,0.024687162599846112,0.06789841666666667,UDP
1810,0.0196283527368356,0.014196360152035473,0.102335166,33.33333333333333,0.013821544209682578,0.06302885400000001,UDP
1811,0.016923704118772222,0.017081347724429586,0.2139581465,0.0,0.016525397276161993,0.41881287300000003,UDP
1812,0.05436687745225165,0.05437576841771347,0.07952653757142857,0.0,0.05290481028378609,0.10219826800000001,UDP
1813,0.014633172725169315,0.014622573991139944,0.026655289500000002,0.0,0.014276110188273166,0.030908381000000002,UDP
1814,0.22979605505049827,0.22911479331875323,0.02086880142857143,0.0,0.2230640552813608,0.015474101,UDP
1815,0.19052295422636362,0.19249597770915522,0.02842224672727273,0.0,0.1860152626573601,0.026088415714285714,UDP
1816,0.05963218449210988,0.060040376656268976,0.08728873100000001,0.0,0.058229282643291254,0.06064259216666667,UDP
1817,0.15018932422907147,0.15139795164534792,0.03664740431578948,0.0,0.14635053004930107,0.03380276861111112,UDP
1818,0.06186463136492567,0,0,0,0,0,UDP
1819,0.052813832056055186,0.0529478062257578,0.024761559833333335,0.0,0.05156597880551163,0.030354160800000002,UDP
1820,0.028382639126245845,0,0,0,0,0,UDP
1821,0.032665648300281236,0.032743944933230226,0.08097108375,0.0,0.03188953359546765,0.15520487100000002,UDP
1822,0.026406916028027593,0.027060974701081545,0.3757785633333333,0.0,0.025774201170514932,0.5272032425000001,UDP
1823,0.051713543888220706,0.05178342877684988,0.040445281285714285,0.0,0.050489321833660755,0.05440445916666667,UDP
1824,0.023329810206886868,0,0,0,0,0,UDP
1825,0.031317967755541236,0.03174360285003149,0.1734776355,0.0,0.030559328987028882,0.22089868666666668,UDP
1826,0.05029917552627487,0.05125346942226022,0.22620346200000002,0.0,0.0488126333371542,0.2656372441666667,UDP
1827,0.052813832056055186,0,0,0,0,0,UDP
1828,0.05689818041534872,0.05727790290520046,0.053747928,0.0,0.05554837609866581,0.05747351216666667,UDP
1829,0.053981312670501956,0.05430423767646324,0.05716361942857143,0.0,0.05269780024719694,0.05266844683333334,UDP
1830,0.058259169143257176,0.058647114225755526,0.058853232875,0.0,0.056887758899776125,0.06375283157142858,UDP
1831,0.05829636443431225,0.058711170197088124,0.05871264085714286,0.0,0.05692819106933266,0.066673252,UDP
1832,0.03919253196910028,0.03926052237709415,0.045360392,0.0,0.03825137200380045,0.032910415000000005,UDP
1833,0.022356783395730245,0.022567712712003276,0.16265950850000002,0.0,0.02183144648249093,0.321071163,UDP
1834,0.04449589059211705,0.04425406511890356,0.060059478400000005,0.0,0.04321294542117544,0.06509632850000001,UDP
