metric,time,throughput_kbps,delay,loss,jitter
olsr,1,2054.754319253,0.0007537783,0,5.5288833186514E-06
olsr,2,,,,
olsr,3,,,,
olsr,4,,,,
olsr,5,,,,
olsr,6,,,,
aodv,1,2038.6289199908,0.0009760578,0,1.97554736056179E-05
aodv,2,,,,
aodv,3,,,,
aodv,4,,,,
aodv,5,,,,
aodv,6,,,,
hwmp,1,,,,
hwmp,2,,,,
hwmp,3,,,,
hwmp,4,,,,
hwmp,5,,,,
hwmp,6,,,,
m_hwmp,1,,,,
m_hwmp,2,,,,
m_hwmp,3,,,,
m_hwmp,4,,,,
m_hwmp,5,,,,
m_hwmp,6,,,,
