FlowID,TX bitrate (kbit/s),RX bitrate (kbit/s),meanDelay [s],PacketLoss (%),Throughput (kbps),Mean jitter (s),Protocol
1,2104.084237338901,2104.27478098818,0.0017506402533872599,1.001001001001001,2034.171383875798,9.221194948228442e-05,UDP
2,34.456240372834465,37.76640622107126,0.001925335,0.0,32.27517799545497,0.001953608,UDP
3,0,0,0.017477802,0.0,21.45578717506927,0,UDP
4,34.456240372834465,33.67143457980045,0.0013280710000000001,0.0,31.41102469170393,0.00051951,UDP
5,0,0,1.000649166,0.0,0.3747567206786639,0,UDP
6,34.456240372834465,59.86344120159021,0.009388621,0.0,27.831594804932248,0.009459942,UDP
7,0,0,0.016842613,0.0,22.26495378122148,0,UDP
8,34.456240372834465,139.68256046863496,0.01330734,0.0,27.57251470267583,0.01679096,UDP
9,0,0,0.013867654,0.0,27.041343835085588,0,UDP
10,34.456240372834465,169.15736943550996,0.009056325,0.0,33.37639481622757,0.017748990000000003,UDP
11,21.044646612375278,28.02966355936434,0.0038603830000000002,0.0,19.67300548040619,0.0056839360000000005,UDP
12,23.604003888169537,289.0324818315989,0.009734876,0.0,22.608885477687043,0.01867482,UDP
13,0,0,0,0,0,0,UDP
14,87.30160029289686,934.4320697086324,0.01008083,0.0,35.81864144993555,0.0049845,UDP
15,0,0,3.0062621280000004,0.0,0.12473962150781549,0,UDP
16,0,0,0.009293775,0.0,40.349588837689744,0,UDP
17,0,0,0.013087785000000001,0.0,28.652671173922858,0,UDP
18,0,0,1.010821205,0.0,0.3709854899611054,0,UDP
19,0,0,2.013528113,0.0,0.18624026035637478,0,UDP
20,0,0,1.0058668670000002,0.0,0.3728127571379682,0,UDP
21,0,0,0.007508132000000001,0.0,49.945845384710864,0,UDP
22,0,0,0.006999419000000001,0.0,53.5758753690842,0,UDP
23,0,0,0.012235230000000001,0.0,30.649199075129765,0,UDP
24,0,0,0.008009151,0.0,46.821442122891675,0,UDP
25,0,0,0.9837309860000001,0.0,0.2382511106547578,0,UDP
26,0,0,0.005605405,0.0,41.812322214005945,0,UDP
27,2104.084627028508,2104.1849925546603,0.001630349303143077,0.555130938493101,2043.3330920687192,5.149382192556635e-05,UDP
28,0,0,0.017397244000000003,0.0,13.471961421015878,0,UDP
29,0,0,0.017713423000000002,0.0,13.2314911691546,0,UDP
