Node#, timeConnected, timeChannelSwitched
2, 0.325416, 0.325416
11, 3.04939, 3.04939
21, 30.7332, 30.7332
12, 30.7332, 30.7332
29, 30.7332, 30.7332
38, 30.7332, 30.7332
47, 30.7332, 30.7332
56, 30.7332, 30.7332
37, 30.7332, 30.7332
65, 30.7332, 30.7332
46, 30.7332, 30.7332
74, 30.7332, 30.7332
64, 30.7332, 30.7332
13, 30.7338, 30.7338
22, 30.7338, 30.7338
54, 30.7338, 30.7338
62, 30.7338, 30.7338
39, 30.7338, 30.7338
70, 30.7338, 30.7338
48, 30.7338, 30.7338
80, 30.7338, 30.7338
57, 30.7338, 30.7338
81, 30.7338, 30.7338
67, 30.7338, 30.7338
78, 30.7338, 30.7338
77, 30.7338, 30.7338
66, 30.7338, 30.7338
76, 30.7338, 30.7338
75, 30.7338, 30.7338
55, 30.7365, 30.7365
58, 30.7365, 30.7365
68, 30.7365, 30.7365
59, 30.7365, 30.7365
40, 30.7365, 30.7365
50, 30.7365, 30.7365
60, 30.7365, 30.7365
41, 30.7365, 30.7365
31, 30.7365, 30.7365
51, 30.7365, 30.7365
79, 30.7365, 30.7365
61, 30.7365, 30.7365
32, 30.7365, 30.7365
42, 30.7365, 30.7365
52, 30.7365, 30.7365
33, 30.7365, 30.7365
23, 30.7365, 30.7365
43, 30.7365, 30.7365
53, 30.7365, 30.7365
24, 30.7365, 30.7365
34, 30.7365, 30.7365
14, 30.7365, 30.7365
44, 30.7365, 30.7365
63, 30.7365, 30.7365
25, 30.7365, 30.7365
15, 30.7365, 30.7365
35, 30.7365, 30.7365
45, 30.7365, 30.7365
16, 30.7365, 30.7365
26, 30.7365, 30.7365
36, 30.7365, 30.7365
17, 30.7365, 30.7365
27, 30.7365, 30.7365
18, 30.7365, 30.7365
69, 30.7391, 30.7391
28, 30.7391, 30.7391
73, 30.7391, 30.7391
20, 32.7692, 32.7692
3, 32.7692, 32.7692
30, 34.49, 34.49
19, 39.8248, 39.8248
4, 41.8733, 41.8733
49, 47.7692, 47.7692
5, 58.7412, 58.7412
6, 58.7412, 58.7412
71, 58.7412, 58.7412
72, 58.7412, 58.7412
7, 63.1092, 63.1092
8, 63.1092, 63.1092
9, 63.1092, 63.1092
10, 79.4072, 79.4072
