Node#, timeConnected, timeChannelSwitched
2, 0.325416, 0.325416
3, 3.14208, 3.14208
12, 6.73567, 6.73567
13, 6.73567, 6.73567
14, 6.73567, 6.73567
21, 6.73567, 6.73567
28, 27.82, 27.82
29, 27.82, 27.82
36, 27.82, 27.82
22, 27.82, 27.82
30, 30.7222, 30.7222
35, 30.7222, 30.7222
37, 30.7327, 30.7327
43, 30.7332, 30.7332
45, 30.7332, 30.7332
38, 30.7332, 30.7332
52, 30.7332, 30.7332
19, 30.7332, 30.7332
42, 30.7332, 30.7332
51, 30.7332, 30.7332
50, 30.7332, 30.7332
54, 30.7332, 30.7332
39, 30.7332, 30.7332
60, 30.7332, 30.7332
47, 30.7332, 30.7332
59, 30.7332, 30.7332
61, 30.7332, 30.7332
58, 30.7332, 30.7332
62, 30.7332, 30.7332
4, 30.7332, 30.7332
40, 30.7332, 30.7332
5, 30.7332, 30.7332
48, 30.7332, 30.7332
15, 30.7332, 30.7332
57, 30.7332, 30.7332
63, 30.7332, 30.7332
6, 30.7332, 30.7332
24, 30.7332, 30.7332
56, 30.7332, 30.7332
16, 30.7332, 30.7332
33, 30.7391, 30.7391
49, 30.7391, 30.7391
34, 30.7391, 30.7391
25, 30.7391, 30.7391
27, 30.7391, 30.7391
53, 30.7391, 30.7391
46, 30.7391, 30.7391
55, 30.7391, 30.7391
31, 30.7391, 30.7391
23, 30.7391, 30.7391
32, 30.7391, 30.7391
64, 30.7391, 30.7391
7, 30.7391, 30.7391
8, 30.7391, 30.7391
41, 30.7408, 30.7408
10, 32.4824, 32.4824
20, 32.4824, 32.4824
26, 32.4824, 32.4824
17, 32.5848, 32.5848
11, 32.7702, 32.7702
18, 32.8031, 32.8031
9, 32.8044, 32.8044
44, 33.9289, 33.9289
