Node#, timeConnected, timeChannelSwitched
2, 0.0982971, 0.0982971
3, 3.14169, 3.14169
8, 6.18878, 6.18878
14, 21.2073, 21.2073
9, 21.2073, 21.2073
10, 24.6743, 24.6743
11, 29.6638, 29.6638
13, 30.7338, 30.7338
18, 30.7565, 30.7565
17, 30.7565, 30.7565
23, 30.7565, 30.7565
20, 30.7565, 30.7565
24, 30.7565, 30.7565
21, 30.7565, 30.7565
12, 32.4824, 32.4824
25, 32.4824, 32.4824
4, 32.4827, 32.4827
5, 32.4827, 32.4827
19, 32.6049, 32.6049
22, 32.7807, 32.7807
7, 32.7807, 32.7807
16, 32.8249, 32.8249
6, 32.8632, 32.8632
15, 34.9048, 34.9048
