Node#, timeConnected, timeChannelSwitched
2, 0.325416, 0.325416
3, 3.14171, 3.14171
4, 6.21868, 6.21868
10, 9.77495, 9.77495
16, 29.205, 29.205
17, 29.205, 29.205
24, 29.205, 29.205
9, 29.205, 29.205
18, 29.205, 29.205
11, 29.205, 29.205
15, 30.7408, 30.7408
14, 30.7408, 30.7408
5, 30.7408, 30.7408
12, 30.7423, 30.7423
6, 30.7423, 30.7423
22, 30.7427, 30.7427
25, 30.7427, 30.7427
29, 30.7427, 30.7427
23, 30.7427, 30.7427
31, 30.7427, 30.7427
35, 30.7427, 30.7427
36, 30.7427, 30.7427
28, 30.7447, 30.7447
27, 30.7447, 30.7447
34, 30.7447, 30.7447
26, 30.7447, 30.7447
33, 30.7447, 30.7447
32, 30.7447, 30.7447
21, 32.4824, 32.4824
20, 32.4824, 32.4824
30, 32.4824, 32.4824
19, 32.7706, 32.7706
13, 32.7706, 32.7706
8, 32.7706, 32.7706
7, 32.7706, 32.7706
