Node#, timeConnected, timeChannelSwitched
2, 0.325416, 0.325416
10, 3.05858, 3.05858
11, 27.6644, 27.6644
9, 30.7222, 30.7222
19, 30.7332, 30.7332
27, 30.7332, 30.7332
12, 30.7332, 30.7332
20, 30.7332, 30.7332
13, 30.7332, 30.7332
21, 30.7332, 30.7332
14, 30.7332, 30.7332
34, 30.7391, 30.7391
40, 30.7391, 30.7391
42, 30.7391, 30.7391
48, 30.7391, 30.7391
33, 30.7391, 30.7391
35, 30.7391, 30.7391
47, 30.7391, 30.7391
39, 30.7391, 30.7391
26, 30.7391, 30.7391
28, 30.7391, 30.7391
32, 30.7391, 30.7391
46, 30.7391, 30.7391
25, 30.7391, 30.7391
38, 30.7391, 30.7391
31, 30.7391, 30.7391
45, 30.7391, 30.7391
37, 30.7391, 30.7391
44, 30.7391, 30.7391
36, 30.7391, 30.7391
29, 30.7391, 30.7391
43, 30.7391, 30.7391
22, 30.7391, 30.7391
41, 30.7404, 30.7404
23, 30.7404, 30.7404
24, 30.7408, 30.7408
30, 30.7408, 30.7408
18, 32.5848, 32.5848
17, 32.7702, 32.7702
3, 32.8045, 32.8045
49, 32.8076, 32.8076
4, 32.8076, 32.8076
16, 32.8241, 32.8241
5, 33.3016, 33.3016
6, 33.8757, 33.8757
7, 34.3001, 34.3001
15, 34.3001, 34.3001
8, 36.4895, 36.4895
