Node#, time
2, 0.0243149
3, 0.0243753
4, 0.0247194
5, 0.0366209
6, 0.0452606
7, 0.0460626
8, 0.0889997
9, 0.120135
10, 0.121452
11, 0.121452
12, 0.129382
13, 0.129383
14, 0.16375
15, 0.167547
16, 0.167607
17, 0.190521
18, 0.190581
19, 0.191185
20, 0.192048
21, 0.19312
22, 0.231218
23, 0.231766
24, 0.231826
25, 0.232163
26, 0.232314
27, 0.232375
28, 0.244647
29, 0.259345
30, 0.259699
31, 0.27254
32, 0.288749
33, 0.30294
34, 0.30294
35, 0.303083
36, 0.319997
37, 0.333875
38, 0.346211
39, 0.346414
40, 0.346414
41, 0.37333
42, 0.373477
43, 0.373753
44, 0.384111
45, 0.384111
46, 0.384263
47, 0.386002
48, 0.398675
49, 0.400637
50, 0.400637
51, 0.400789
52, 0.422111
53, 0.422313
54, 0.422314
55, 0.422456
56, 0.426552
57, 0.475902
58, 0.476814
59, 0.476814
60, 0.492164
61, 0.564817
62, 0.564817
63, 0.767265
64, 0.803502
