Node#, time
2, 0.0243149
3, 0.0243753
4, 0.0247763
5, 0.0464619
6, 0.055271
7, 0.0556248
8, 0.0613185
9, 0.0613186
10, 0.0741282
11, 0.107454
12, 0.107514
13, 0.108421
14, 0.110767
15, 0.11234
16, 0.112543
17, 0.11315
18, 0.116557
19, 0.117449
20, 0.117872
21, 0.164087
22, 0.208785
23, 0.20894
24, 0.209249
25, 0.231956
26, 0.232695
27, 0.232755
28, 0.259484
29, 0.259544
30, 0.260391
31, 0.288552
32, 0.288705
33, 0.288765
34, 0.289166
35, 0.289411
36, 0.289966
37, 0.312637
38, 0.334036
39, 0.334097
40, 0.334097
41, 0.346211
42, 0.346211
43, 0.346381
44, 0.373262
45, 0.377968
46, 0.388804
47, 0.388942
48, 0.388942
49, 0.400931
50, 0.434794
51, 0.435076
52, 0.435317
53, 0.43578
54, 0.449049
55, 0.4492
56, 0.449261
57, 0.449477
58, 0.449734
59, 0.47591
60, 0.518315
61, 0.682297
62, 0.682997
63, 0.682997
64, 0.719503
65, 0.719654
66, 0.719715
67, 0.719857
68, 0.731313
69, 0.789633
70, 0.789634
71, 0.797497
72, 0.797557
73, 0.798531
74, 0.81239
75, 0.812827
76, 0.815932
77, 0.815932
78, 0.821237
79, 0.821298
80, 0.845427
81, 0.87763
82, 0.878241
83, 0.878397
84, 0.878397
85, 0.895179
86, 0.945696
87, 0.9466
88, 0.9466
89, 0.981934
90, 1.00013
91, 1.00222
92, 1.00263
93, 1.0028
94, 1.00301
95, 1.08582
96, 1.08582
97, 1.21258
98, 1.21343
99, 1.22026
100, 1.26601
