Node#, time
2, 0.0243149
3, 0.0243753
4, 0.0247763
5, 0.0556248
6, 0.0556851
7, 0.0563201
8, 0.0667111
9, 0.0699502
10, 0.0701527
11, 0.0701529
12, 0.0793864
13, 0.0795467
14, 0.0804315
15, 0.0811886
16, 0.0816644
17, 0.0818867
18, 0.0821031
19, 0.0823014
20, 0.0823015
21, 0.0930736
22, 0.122531
23, 0.122735
24, 0.125689
25, 0.168192
26, 0.168348
27, 0.169035
28, 0.169035
29, 0.188524
30, 0.188971
31, 0.190132
32, 0.190192
33, 0.232163
34, 0.232521
35, 0.259345
36, 0.333855
37, 0.334058
38, 0.346231
39, 0.346231
40, 0.346594
41, 0.357085
42, 0.426156
43, 0.471296
44, 0.471448
45, 0.529558
46, 0.529558
47, 0.529727
48, 0.559716
49, 0.620878
