Node#, time
2, 0.325416
3, 0.325567
12, 0.325567
21, 0.325779
22, 0.325779
13, 0.326268
23, 0.812256
30, 2.05064
39, 2.05452
48, 2.05452
49, 2.05452
33, 2.05643
42, 2.05643
44, 2.05643
53, 2.05643
32, 2.05643
34, 2.05643
52, 2.05643
62, 2.0577
71, 2.0577
73, 2.0577
82, 2.0577
61, 2.0577
63, 2.0577
81, 2.0577
72, 2.0582
83, 2.0582
92, 2.0582
91, 2.0582
80, 2.05931
89, 2.05931
100, 2.05931
99, 2.05931
14, 2.06074
25, 2.06074
98, 2.06099
26, 2.06122
35, 2.06122
37, 2.06122
46, 2.06122
27, 2.06122
45, 2.06122
47, 2.06122
74, 2.06446
84, 2.06446
90, 2.06626
51, 2.06711
36, 2.06883
31, 2.06928
55, 2.07069
28, 2.07072
93, 2.07314
95, 2.07314
29, 2.07321
38, 2.07321
40, 2.07321
50, 2.07321
54, 2.07342
65, 2.07342
75, 2.07342
60, 2.07462
4, 2.07598
15, 2.07598
85, 2.07892
94, 2.07892
58, 2.08135
69, 2.08135
64, 2.08307
86, 2.08741
97, 2.08741
41, 2.0876
57, 2.08796
66, 2.08796
68, 2.08796
77, 2.08796
78, 2.08796
56, 2.08924
67, 2.08974
76, 2.08974
24, 2.09277
59, 2.09387
5, 2.09394
70, 2.09821
88, 2.09821
43, 2.10407
96, 2.10515
79, 2.1061
16, 2.11471
6, 2.11471
7, 2.12428
18, 2.12428
17, 2.12428
19, 2.12428
87, 2.1289
20, 2.13143
8, 2.13941
9, 4.15699
10, 4.17013
11, 4.28753
