Node#, time
10, 0.0569208
17, 0.0609862
19, 0.0609862
26, 0.0609862
11, 0.0609863
24, 0.0667113
20, 0.0733262
27, 0.0733262
29, 0.0733262
36, 0.0733262
21, 0.0733263
35, 0.0733263
37, 0.0733263
18, 0.0741284
30, 0.0746735
32, 0.0746735
39, 0.0746735
22, 0.0746736
38, 0.0746736
45, 0.0754571
52, 0.0754571
54, 0.0754571
61, 0.0754571
44, 0.0754572
46, 0.0754572
62, 0.0754572
59, 0.0832343
51, 0.0832344
53, 0.0832344
31, 0.0834345
23, 0.0834346
48, 0.0861311
55, 0.0861311
64, 0.0861311
47, 0.0861312
63, 0.0861312
49, 0.0875401
58, 0.0875401
50, 0.0875402
25, 0.0891357
34, 0.0891357
33, 0.0891358
12, 0.0952145
60, 0.0959235
2, 0.325416
3, 0.325567
56, 1.00013
28, 2.05023
42, 2.05643
13, 2.06836
14, 2.06836
43, 2.06883
15, 2.07031
4, 2.07272
5, 2.07272
40, 2.07321
41, 2.07462
57, 2.07462
6, 2.07598
16, 2.09277
7, 2.09394
8, 2.13676
9, 2.2865
