Node#, time
11, 0.0176175
12, 0.019019
20, 0.019019
19, 0.0190191
21, 0.0247194
28, 0.0418652
38, 0.0418652
37, 0.0418653
22, 0.0447748
32, 0.0447748
33, 0.044775
13, 0.045943
23, 0.045943
24, 0.0459432
42, 0.0491265
50, 0.0491265
52, 0.0491265
41, 0.0491266
43, 0.0560696
51, 0.0560696
34, 0.0581776
25, 0.0581778
35, 0.0598097
44, 0.0598098
39, 0.0601382
47, 0.0601382
49, 0.0601382
57, 0.0601382
40, 0.0601383
56, 0.0601383
27, 0.0609862
14, 0.0667111
45, 0.0683171
36, 0.0683172
48, 0.0700473
58, 0.0700473
59, 0.0700474
29, 0.0733262
30, 0.0746735
54, 0.0754571
62, 0.0754571
63, 0.0754572
69, 0.0832343
68, 0.0832344
31, 0.0834345
55, 0.0861311
65, 0.0861311
46, 0.0861312
64, 0.0861312
66, 0.0861312
73, 0.0865055
75, 0.0865055
15, 0.088759
26, 0.0887591
16, 0.0891358
17, 0.0914123
74, 0.0989532
76, 0.0989532
67, 0.0989534
71, 0.0992034
81, 0.0992034
72, 0.0992036
2, 0.325416
3, 0.325567
80, 1.00013
77, 2.04918
18, 2.0618
53, 2.06997
61, 2.06997
70, 2.07235
60, 2.07462
4, 2.07598
5, 2.09394
6, 2.09394
78, 2.09821
79, 2.1084
7, 2.11471
8, 2.12213
9, 2.12428
10, 2.2865
